Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_210818202752_X0709.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


[Series settings]
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


Date/time;Pressure[cmH2O];Temperature[°C];1:Conductivity[ms/cm]
2021/03/30 22:00:00;1006,958;22,867;0,000
2021/03/30 23:00:00;1007,192;21,723;0,000
2021/03/31 00:00:00;1007,075;20,643;0,000
2021/03/31 01:00:00;1006,958;19,997;0,000
2021/03/31 02:00:00;1006,958;19,160;0,000
2021/03/31 03:00:00;1006,783;18,747;0,000
2021/03/31 04:00:00;1006,958;18,383;0,000
2021/03/31 05:00:00;1007,308;18,063;0,000
2021/03/31 06:00:00;1007,892;17,613;0,000
2021/03/31 07:00:00;1008,475;18,857;0,000
2021/03/31 08:00:00;1009,408;23,983;0,000
2021/03/31 09:00:00;1010,050;28,293;0,000
2021/03/31 10:00:00;1009,992;30,770;0,000
2021/03/31 11:00:00;1009,350;32,940;0,000
2021/03/31 12:00:00;1007,892;34,517;0,000
2021/03/31 13:00:00;1006,783;36,670;0,000
2021/03/31 14:00:00;1005,267;37,243;0,000
2021/03/31 15:00:00;1004,275;36,117;0,000
2021/03/31 16:00:00;1003,925;36,093;0,000
2021/03/31 17:00:00;1003,342;33,673;0,000
2021/03/31 18:00:00;1003,342;28,573;0,000
2021/03/31 19:00:00;1004,217;25,097;0,000
2021/03/31 20:00:00;1004,800;23,690;0,000
2021/03/31 21:00:00;1005,792;22,627;0,000
2021/03/31 22:00:00;1006,608;21,977;0,000
2021/03/31 23:00:00;1006,608;21,203;0,000
2021/04/01 00:00:00;1006,317;20,290;0,000
2021/04/01 01:00:00;1006,200;19,500;0,000
2021/04/01 02:00:00;1006,142;18,773;0,000
2021/04/01 03:00:00;1006,025;18,627;0,000
2021/04/01 04:00:00;1006,492;18,483;0,000
2021/04/01 05:00:00;1006,842;17,907;0,000
2021/04/01 06:00:00;1007,775;17,140;0,000
2021/04/01 07:00:00;1008,417;17,880;0,000
2021/04/01 08:00:00;1009,525;22,960;0,000
2021/04/01 09:00:00;1009,758;28,113;0,000
2021/04/01 10:00:00;1009,817;31,317;0,000
2021/04/01 11:00:00;1009,642;33,277;0,000
2021/04/01 12:00:00;1008,300;34,540;0,000
2021/04/01 13:00:00;1007,133;37,450;0,000
2021/04/01 14:00:00;1005,908;38,147;0,000
2021/04/01 15:00:00;1004,975;36,903;0,000
2021/04/01 16:00:00;1004,275;36,943;0,000
2021/04/01 17:00:00;1004,392;35,883;0,000
2021/04/01 18:00:00;1004,217;29,890;0,000
2021/04/01 19:00:00;1004,683;25,570;0,000
2021/04/01 20:00:00;1005,675;23,877;0,000
2021/04/01 21:00:00;1006,433;22,657;0,000
2021/04/01 22:00:00;1007,192;21,883;0,000
2021/04/01 23:00:00;1007,542;21,047;0,000
2021/04/02 00:00:00;1007,425;20,157;0,000
2021/04/02 01:00:00;1007,250;19,413;0,000
2021/04/02 02:00:00;1007,133;18,700;0,000
2021/04/02 03:00:00;1007,308;18,073;0,000
2021/04/02 04:00:00;1007,600;17,623;0,000
2021/04/02 05:00:00;1007,658;17,087;0,000
2021/04/02 06:00:00;1008,008;16,627;0,000
2021/04/02 07:00:00;1009,175;18,047;0,000
2021/04/02 08:00:00;1010,108;22,747;0,000
2021/04/02 09:00:00;1010,633;28,510;0,000
2021/04/02 10:00:00;1010,458;31,593;0,000
2021/04/02 11:00:00;1009,642;33,193;0,000
2021/04/02 12:00:00;1009,000;34,340;0,000
2021/04/02 13:00:00;1007,483;37,843;0,000
2021/04/02 14:00:00;1006,433;38,393;0,000
2021/04/02 15:00:00;1005,092;36,260;0,000
2021/04/02 16:00:00;1004,567;36,113;0,000
2021/04/02 17:00:00;1004,800;35,303;0,000
2021/04/02 18:00:00;1004,567;30,390;0,000
2021/04/02 19:00:00;1005,092;25,743;0,000
2021/04/02 20:00:00;1005,675;23,660;0,000
2021/04/02 21:00:00;1006,258;22,183;0,000
2021/04/02 22:00:00;1007,075;21,303;0,000
2021/04/02 23:00:00;1007,892;20,577;0,000
2021/04/03 00:00:00;1007,542;20,120;0,000
2021/04/03 01:00:00;1007,075;19,780;0,000
2021/04/03 02:00:00;1006,783;19,390;0,000
2021/04/03 03:00:00;1006,842;19,067;0,000
2021/04/03 04:00:00;1006,667;18,540;0,000
2021/04/03 05:00:00;1006,667;17,837;0,000
2021/04/03 06:00:00;1007,308;17,367;0,000
2021/04/03 07:00:00;1008,533;18,530;0,000
2021/04/03 08:00:00;1009,408;23,223;0,000
2021/04/03 09:00:00;1009,875;29,140;0,000
2021/04/03 10:00:00;1009,642;32,460;0,000
2021/04/03 11:00:00;1009,292;33,670;0,000
2021/04/03 12:00:00;1008,183;34,963;0,000
2021/04/03 13:00:00;1006,900;37,757;0,000
2021/04/03 14:00:00;1005,442;38,853;0,000
2021/04/03 15:00:00;1004,683;36,460;0,000
2021/04/03 16:00:00;1004,275;36,140;0,000
2021/04/03 17:00:00;1003,983;34,793;0,000
2021/04/03 18:00:00;1003,867;32,400;0,000
2021/04/03 19:00:00;1004,217;26,163;0,000
2021/04/03 20:00:00;1004,625;24,477;0,000
2021/04/03 21:00:00;1005,150;23,697;0,000
2021/04/03 22:00:00;1005,792;22,313;0,000
2021/04/03 23:00:00;1005,792;21,563;0,000
2021/04/04 00:00:00;1005,033;21,017;0,000
2021/04/04 01:00:00;1004,742;20,787;0,000
2021/04/04 02:00:00;1004,742;20,510;0,000
2021/04/04 03:00:00;1004,625;19,787;0,000
2021/04/04 04:00:00;1005,208;19,077;0,000
2021/04/04 05:00:00;1006,142;18,347;0,000
2021/04/04 06:00:00;1006,492;17,940;0,000
2021/04/04 07:00:00;1007,425;19,317;0,000
2021/04/04 08:00:00;1008,242;24,117;0,000
2021/04/04 09:00:00;1008,475;28,377;0,000
2021/04/04 10:00:00;1008,183;32,970;0,000
2021/04/04 11:00:00;1007,542;34,880;0,000
2021/04/04 12:00:00;1006,142;36,227;0,000
2021/04/04 13:00:00;1004,975;38,750;0,000
2021/04/04 14:00:00;1003,692;40,027;0,000
2021/04/04 15:00:00;1002,525;37,220;0,000
2021/04/04 16:00:00;1001,942;36,953;0,000
2021/04/04 17:00:00;1002,292;37,837;0,000
2021/04/04 18:00:00;1002,467;33,253;0,000
