Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:53
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Rabingha_Baro_210818202752_BX059.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Rabingha_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
  Location                =Rabingha_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:17 25/03/21
  End date / time         =00:00:13 18/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/04/06 11:00:00;993,125;28,280
2021/04/06 12:00:00;992,175;29,217
2021/04/06 13:00:00;991,050;29,750
2021/04/06 14:00:00;989,525;30,763
2021/04/06 15:00:00;988,750;32,833
2021/04/06 16:00:00;988,150;31,810
2021/04/06 17:00:00;987,800;30,483
2021/04/06 18:00:00;988,200;30,187
2021/04/06 19:00:00;988,800;29,147
2021/04/06 20:00:00;989,775;28,467
2021/04/06 21:00:00;990,100;28,083
2021/04/06 22:00:00;990,825;27,897
2021/04/06 23:00:00;990,550;27,803
2021/04/07 00:00:00;990,550;27,687
2021/04/07 01:00:00;990,425;27,560
2021/04/07 02:00:00;990,300;27,483
2021/04/07 03:00:00;990,950;27,420
2021/04/07 04:00:00;990,775;27,200
2021/04/07 05:00:00;991,425;27,013
2021/04/07 06:00:00;992,425;27,297
2021/04/07 07:00:00;993,250;27,310
2021/04/07 08:00:00;994,200;27,530
2021/04/07 09:00:00;994,500;27,873
2021/04/07 10:00:00;994,075;27,827
2021/04/07 11:00:00;993,325;27,873
2021/04/07 12:00:00;992,475;28,560
2021/04/07 13:00:00;991,100;30,170
2021/04/07 14:00:00;990,100;32,507
2021/04/07 15:00:00;989,575;33,553
2021/04/07 16:00:00;988,975;33,647
2021/04/07 17:00:00;988,625;30,920
2021/04/07 18:00:00;988,975;29,623
2021/04/07 19:00:00;989,700;29,083
2021/04/07 20:00:00;990,050;28,560
2021/04/07 21:00:00;990,650;28,647
2021/04/07 22:00:00;991,000;28,560
2021/04/07 23:00:00;991,100;28,630
2021/04/08 00:00:00;990,700;28,577
2021/04/08 01:00:00;990,575;28,723
2021/04/08 02:00:00;990,350;28,780
2021/04/08 03:00:00;990,650;28,740
2021/04/08 04:00:00;990,575;28,560
2021/04/08 05:00:00;991,200;28,163
2021/04/08 06:00:00;991,850;27,740
2021/04/08 07:00:00;992,600;27,380
2021/04/08 08:00:00;993,025;27,170
2021/04/08 09:00:00;993,775;27,060
2021/04/08 10:00:00;993,500;27,677
2021/04/08 11:00:00;993,025;28,843
2021/04/08 12:00:00;991,775;29,827
2021/04/08 13:00:00;990,275;31,653
2021/04/08 14:00:00;988,750;32,187
2021/04/08 15:00:00;987,750;33,123
2021/04/08 16:00:00;987,100;31,967
2021/04/08 17:00:00;986,425;30,473
2021/04/08 18:00:00;987,100;29,717
2021/04/08 19:00:00;987,500;29,200
2021/04/08 20:00:00;988,325;28,617
2021/04/08 21:00:00;989,250;28,403
2021/04/08 22:00:00;989,650;28,367
2021/04/08 23:00:00;989,575;28,507
2021/04/09 00:00:00;990,125;28,820
2021/04/09 01:00:00;989,700;28,797
2021/04/09 02:00:00;989,325;28,630
2021/04/09 03:00:00;988,775;28,403
2021/04/09 04:00:00;988,775;28,147
2021/04/09 05:00:00;989,000;27,723
2021/04/09 06:00:00;989,825;27,460
2021/04/09 07:00:00;991,475;27,420
2021/04/09 08:00:00;992,425;27,467
2021/04/09 09:00:00;992,500;27,960
2021/04/09 10:00:00;992,425;28,350
2021/04/09 11:00:00;992,175;29,193
2021/04/09 12:00:00;991,175;29,803
2021/04/09 13:00:00;990,175;30,960
2021/04/09 14:00:00;988,575;32,483
2021/04/09 15:00:00;987,550;33,607
2021/04/09 16:00:00;986,725;32,867
2021/04/09 17:00:00;986,675;32,420
2021/04/09 18:00:00;987,150;30,780
2021/04/09 19:00:00;988,800;29,843
2021/04/09 20:00:00;989,650;28,857
2021/04/09 21:00:00;990,525;29,513
2021/04/09 22:00:00;991,225;29,867
2021/04/09 23:00:00;990,700;30,153
2021/04/10 00:00:00;990,650;30,193
2021/04/10 01:00:00;990,175;29,903
2021/04/10 02:00:00;989,700;29,467
2021/04/10 03:00:00;989,750;29,093
2021/04/10 04:00:00;989,650;28,763
2021/04/10 05:00:00;990,000;28,460
2021/04/10 06:00:00;990,350;28,250
2021/04/10 07:00:00;990,775;27,710
2021/04/10 08:00:00;991,475;27,420
2021/04/10 09:00:00;992,300;27,810
2021/04/10 10:00:00;992,475;28,693
2021/04/10 11:00:00;991,850;29,437
2021/04/10 12:00:00;991,050;30,850
2021/04/10 13:00:00;989,750;31,787
2021/04/10 14:00:00;988,575;32,950
2021/04/10 15:00:00;987,450;33,873
2021/04/10 16:00:00;986,725;34,327
2021/04/10 17:00:00;986,250;32,843
2021/04/10 18:00:00;987,275;31,053
2021/04/10 19:00:00;989,875;29,217
2021/04/10 20:00:00;990,050;28,723
2021/04/10 21:00:00;991,075;28,780
2021/04/10 22:00:00;990,925;28,717
2021/04/10 23:00:00;990,300;28,437
2021/04/11 00:00:00;989,250;28,250
2021/04/11 01:00:00;990,250;28,380
2021/04/11 02:00:00;989,175;28,357
2021/04/11 03:00:00;989,350;28,233
2021/04/11 04:00:00;988,225;27,990
2021/04/11 05:00:00;989,825;27,937
2021/04/11 06:00:00;990,650;28,070
2021/04/11 07:00:00;991,475;27,773
2021/04/11 08:00:00;992,500;27,373
2021/04/11 09:00:00;992,775;27,123
2021/04/11 10:00:00;993,125;27,873
2021/04/11 11:00:00;993,250;28,740
2021/04/11 12:00:00;992,225;30,530
2021/04/11 13:00:00;991,475;31,903
2021/04/11 14:00:00;990,175;33,037
2021/04/11 15:00:00;989,275;33,437
2021/04/11 16:00:00;988,625;33,437
2021/04/11 17:00:00;988,450;32,217
2021/04/11 18:00:00;989,225;30,763
2021/04/11 19:00:00;990,175;29,357
2021/04/11 20:00:00;991,000;29,380
2021/04/11 21:00:00;992,125;29,677
